Number of Files,MSE,Name
5,-3.4339646,"La Fleur et al, Hossain et al, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
5,-4.024468442,"La Fleur et al, Hossain et al, Lagator et al Pl, Anderson et al, De Novo Designs"
5,-3.828674623,"La Fleur et al, Hossain et al, Lagator et al Pr, Anderson et al, De Novo Designs"
5,-4.478327554,"La Fleur et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr"
5,-3.826076704,"La Fleur et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Anderson et al"
5,-4.616660316,"La Fleur et al, Yu et al, Lagator et al 36N, Lagator et al Pl, De Novo Designs"
5,-4.274406358,"La Fleur et al, Yu et al, Lagator et al 36N, Lagator et al Pr, Anderson et al"
5,-4.283709596,"La Fleur et al, Yu et al, Lagator et al 36N, Lagator et al Pr, De Novo Designs"
5,-4.286760555,"La Fleur et al, Yu et al, Lagator et al 36N, Anderson et al, De Novo Designs"
5,-4.164196984,"La Fleur et al, Yu et al, Lagator et al Pl, Lagator et al Pr, Anderson et al"
5,-4.312677917,"La Fleur et al, Yu et al, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
5,-3.680987048,"La Fleur et al, Yu et al, Lagator et al Pl, Anderson et al, De Novo Designs"
5,-3.962943382,"La Fleur et al, Yu et al, Lagator et al Pr, Anderson et al, De Novo Designs"
5,-4.16700985,"La Fleur et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al"
5,-4.329406583,"La Fleur et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
5,-4.369041999,"La Fleur et al, Lagator et al 36N, Lagator et al Pl, Anderson et al, De Novo Designs"
5,-4.296537592,"La Fleur et al, Lagator et al 36N, Lagator et al Pr, Anderson et al, De Novo Designs"
5,-3.30027768,"La Fleur et al, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
5,-3.77404496,"Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl"
5,-3.909565681,"Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pr"
5,-3.729820656,"Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Anderson et al"
5,-4.065699342,"Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, De Novo Designs"
5,-4.755798999,"Urtecho et al, Hossain et al, Yu et al, Lagator et al Pl, Lagator et al Pr"
5,-4.112645596,"Urtecho et al, Hossain et al, Yu et al, Lagator et al Pl, Anderson et al"
5,-4.174772534,"Urtecho et al, Hossain et al, Yu et al, Lagator et al Pl, De Novo Designs"
5,-4.018479711,"Urtecho et al, Hossain et al, Yu et al, Lagator et al Pr, Anderson et al"
5,-4.472121835,"Urtecho et al, Hossain et al, Yu et al, Lagator et al Pr, De Novo Designs"
5,-4.095356998,"Urtecho et al, Hossain et al, Yu et al, Anderson et al, De Novo Designs"
5,-3.950931945,"Urtecho et al, Hossain et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr"
5,-3.805096109,"Urtecho et al, Hossain et al, Lagator et al 36N, Lagator et al Pl, Anderson et al"
5,-4.561214445,"Urtecho et al, Hossain et al, Lagator et al 36N, Lagator et al Pl, De Novo Designs"
5,-4.084868158,"Urtecho et al, Hossain et al, Lagator et al 36N, Lagator et al Pr, Anderson et al"
5,-4.392438959,"Urtecho et al, Hossain et al, Lagator et al 36N, Lagator et al Pr, De Novo Designs"
5,-4.209514747,"Urtecho et al, Hossain et al, Lagator et al 36N, Anderson et al, De Novo Designs"
5,-4.036757662,"Urtecho et al, Hossain et al, Lagator et al Pl, Lagator et al Pr, Anderson et al"
5,-3.841518695,"Urtecho et al, Hossain et al, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
5,-3.882528927,"Urtecho et al, Hossain et al, Lagator et al Pl, Anderson et al, De Novo Designs"
5,-3.749431546,"Urtecho et al, Hossain et al, Lagator et al Pr, Anderson et al, De Novo Designs"
5,-4.759043222,"Urtecho et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr"
5,-4.071022969,"Urtecho et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Anderson et al"
5,-4.466547452,"Urtecho et al, Yu et al, Lagator et al 36N, Lagator et al Pl, De Novo Designs"
5,-4.566069385,"Urtecho et al, Yu et al, Lagator et al 36N, Lagator et al Pr, Anderson et al"
5,-4.596195215,"Urtecho et al, Yu et al, Lagator et al 36N, Lagator et al Pr, De Novo Designs"
5,-3.675039272,"Urtecho et al, Yu et al, Lagator et al 36N, Anderson et al, De Novo Designs"
5,-4.479108858,"Urtecho et al, Yu et al, Lagator et al Pl, Lagator et al Pr, Anderson et al"
5,-4.825534182,"Urtecho et al, Yu et al, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
5,-4.421449434,"Urtecho et al, Yu et al, Lagator et al Pl, Anderson et al, De Novo Designs"
5,-4.815146641,"Urtecho et al, Yu et al, Lagator et al Pr, Anderson et al, De Novo Designs"
5,-4.55000981,"Urtecho et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al"
5,-4.904321662,"Urtecho et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
5,-4.587695066,"Urtecho et al, Lagator et al 36N, Lagator et al Pl, Anderson et al, De Novo Designs"
5,-4.842499978,"Urtecho et al, Lagator et al 36N, Lagator et al Pr, Anderson et al, De Novo Designs"
5,-4.410703794,"Urtecho et al, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
5,-3.540947096,"Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr"
5,-3.696563839,"Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Anderson et al"
5,-3.574076079,"Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, De Novo Designs"
5,-3.790526593,"Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pr, Anderson et al"
5,-3.672968645,"Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pr, De Novo Designs"
5,-2.666852506,"Hossain et al, Yu et al, Lagator et al 36N, Anderson et al, De Novo Designs"
5,-3.273042632,"Hossain et al, Yu et al, Lagator et al Pl, Lagator et al Pr, Anderson et al"
5,-2.681102362,"Hossain et al, Yu et al, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
5,-3.230135735,"Hossain et al, Yu et al, Lagator et al Pl, Anderson et al, De Novo Designs"
5,-3.265976804,"Hossain et al, Yu et al, Lagator et al Pr, Anderson et al, De Novo Designs"
5,-3.173100871,"Hossain et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al"
5,-3.462253671,"Hossain et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
5,-3.302424861,"Hossain et al, Lagator et al 36N, Lagator et al Pl, Anderson et al, De Novo Designs"
5,-3.397940737,"Hossain et al, Lagator et al 36N, Lagator et al Pr, Anderson et al, De Novo Designs"
5,-3.046023078,"Hossain et al, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
5,-3.645568204,"Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al"
5,-3.685085137,"Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
5,-3.617145291,"Yu et al, Lagator et al 36N, Lagator et al Pl, Anderson et al, De Novo Designs"
5,-3.307214799,"Yu et al, Lagator et al 36N, Lagator et al Pr, Anderson et al, De Novo Designs"
5,-3.076790785,"Yu et al, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
5,-4.022511097,"Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
6,-5.488430116,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl"
6,-6.507459379,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pr"
6,-5.047434608,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Anderson et al"
6,-5.075029046,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, De Novo Designs"
6,-6.288515227,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al Pl, Lagator et al Pr"
6,-5.48120576,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al Pl, Anderson et al"
6,-5.711053579,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al Pl, De Novo Designs"
6,-5.976151701,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al Pr, Anderson et al"
6,-5.901697616,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al Pr, De Novo Designs"
6,-4.703400357,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Anderson et al, De Novo Designs"
6,-6.475279772,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr"
6,-5.8855564,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al 36N, Lagator et al Pl, Anderson et al"
6,-5.47243588,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al 36N, Lagator et al Pl, De Novo Designs"
6,-6.372017679,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al 36N, Lagator et al Pr, Anderson et al"
6,-5.919032532,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al 36N, Lagator et al Pr, De Novo Designs"
6,-4.685558512,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al 36N, Anderson et al, De Novo Designs"
6,-5.714530563,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al Pl, Lagator et al Pr, Anderson et al"
6,-5.594010728,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
6,-5.111608665,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al Pl, Anderson et al, De Novo Designs"
6,-6.043723092,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al Pr, Anderson et al, De Novo Designs"
6,-5.067521457,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr"
6,-4.975448165,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Anderson et al"
6,-4.875235935,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al 36N, Lagator et al Pl, De Novo Designs"
6,-4.76157563,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al 36N, Lagator et al Pr, Anderson et al"
6,-5.169881931,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al 36N, Lagator et al Pr, De Novo Designs"
6,-3.888679466,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al 36N, Anderson et al, De Novo Designs"
6,-4.620971439,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al Pl, Lagator et al Pr, Anderson et al"
6,-4.710462864,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
6,-4.825028845,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al Pl, Anderson et al, De Novo Designs"
6,-4.422806557,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al Pr, Anderson et al, De Novo Designs"
6,-4.875444163,"La Fleur et al, Urtecho et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al"
6,-5.169410667,"La Fleur et al, Urtecho et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
6,-5.28964297,"La Fleur et al, Urtecho et al, Lagator et al 36N, Lagator et al Pl, Anderson et al, De Novo Designs"
6,-4.925685444,"La Fleur et al, Urtecho et al, Lagator et al 36N, Lagator et al Pr, Anderson et al, De Novo Designs"
6,-4.660655592,"La Fleur et al, Urtecho et al, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
6,-3.877445217,"La Fleur et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr"
6,-5.174260261,"La Fleur et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Anderson et al"
6,-4.810653995,"La Fleur et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, De Novo Designs"
6,-4.140423416,"La Fleur et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pr, Anderson et al"
6,-4.944652386,"La Fleur et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pr, De Novo Designs"
6,-4.259772229,"La Fleur et al, Hossain et al, Yu et al, Lagator et al 36N, Anderson et al, De Novo Designs"
6,-4.064195131,"La Fleur et al, Hossain et al, Yu et al, Lagator et al Pl, Lagator et al Pr, Anderson et al"
6,-3.812906909,"La Fleur et al, Hossain et al, Yu et al, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
6,-4.128806635,"La Fleur et al, Hossain et al, Yu et al, Lagator et al Pl, Anderson et al, De Novo Designs"
6,-3.920210274,"La Fleur et al, Hossain et al, Yu et al, Lagator et al Pr, Anderson et al, De Novo Designs"
6,-4.108964633,"La Fleur et al, Hossain et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al"
6,-4.783192202,"La Fleur et al, Hossain et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
6,-4.197525822,"La Fleur et al, Hossain et al, Lagator et al 36N, Lagator et al Pl, Anderson et al, De Novo Designs"
6,-4.267494576,"La Fleur et al, Hossain et al, Lagator et al 36N, Lagator et al Pr, Anderson et al, De Novo Designs"
6,-3.387268952,"La Fleur et al, Hossain et al, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
6,-3.879651841,"La Fleur et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al"
6,-4.202941151,"La Fleur et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
6,-4.629001255,"La Fleur et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Anderson et al, De Novo Designs"
6,-3.753298614,"La Fleur et al, Yu et al, Lagator et al 36N, Lagator et al Pr, Anderson et al, De Novo Designs"
6,-3.823398234,"La Fleur et al, Yu et al, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
6,-3.847699916,"La Fleur et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
6,-4.141785389,"Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr"
6,-4.018213303,"Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Anderson et al"
6,-4.945959256,"Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, De Novo Designs"
6,-4.103158195,"Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pr, Anderson et al"
6,-4.577445128,"Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pr, De Novo Designs"
6,-4.050687478,"Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Anderson et al, De Novo Designs"
6,-4.629716276,"Urtecho et al, Hossain et al, Yu et al, Lagator et al Pl, Lagator et al Pr, Anderson et al"
6,-3.955395661,"Urtecho et al, Hossain et al, Yu et al, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
6,-3.888736697,"Urtecho et al, Hossain et al, Yu et al, Lagator et al Pl, Anderson et al, De Novo Designs"
6,-4.569261053,"Urtecho et al, Hossain et al, Yu et al, Lagator et al Pr, Anderson et al, De Novo Designs"
6,-4.230976981,"Urtecho et al, Hossain et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al"
6,-4.780307668,"Urtecho et al, Hossain et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
6,-4.34224934,"Urtecho et al, Hossain et al, Lagator et al 36N, Lagator et al Pl, Anderson et al, De Novo Designs"
6,-4.498931943,"Urtecho et al, Hossain et al, Lagator et al 36N, Lagator et al Pr, Anderson et al, De Novo Designs"
6,-3.8312946,"Urtecho et al, Hossain et al, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
6,-4.336608922,"Urtecho et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al"
6,-4.44392062,"Urtecho et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
6,-4.618380723,"Urtecho et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Anderson et al, De Novo Designs"
6,-4.758846523,"Urtecho et al, Yu et al, Lagator et al 36N, Lagator et al Pr, Anderson et al, De Novo Designs"
6,-4.432524771,"Urtecho et al, Yu et al, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
6,-5.120390654,"Urtecho et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
6,-3.275562499,"Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al"
6,-3.649973987,"Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
6,-3.437783113,"Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Anderson et al, De Novo Designs"
6,-3.236404831,"Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pr, Anderson et al, De Novo Designs"
6,-3.299273436,"Hossain et al, Yu et al, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
6,-2.923783708,"Hossain et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
6,-3.947675238,"Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
7,-6.67946697,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr"
7,-5.848246734,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Anderson et al"
7,-5.874128027,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, De Novo Designs"
7,-6.541550817,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pr, Anderson et al"
7,-6.398247925,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pr, De Novo Designs"
7,-4.63833703,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Anderson et al, De Novo Designs"
7,-6.249025455,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al Pl, Lagator et al Pr, Anderson et al"
7,-6.198189092,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
7,-5.593583096,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al Pl, Anderson et al, De Novo Designs"
7,-6.101626926,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al Pr, Anderson et al, De Novo Designs"
7,-6.415619526,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al"
7,-6.29939056,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
7,-5.958633553,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al 36N, Lagator et al Pl, Anderson et al, De Novo Designs"
7,-6.32132048,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al 36N, Lagator et al Pr, Anderson et al, De Novo Designs"
7,-5.859688222,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
7,-5.2744499,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al"
7,-5.244499205,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
7,-5.112747971,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Anderson et al, De Novo Designs"
7,-5.212018766,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al 36N, Lagator et al Pr, Anderson et al, De Novo Designs"
7,-4.894326906,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
7,-5.125691778,"La Fleur et al, Urtecho et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
7,-4.032628621,"La Fleur et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al"
7,-4.683909193,"La Fleur et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
7,-4.676934455,"La Fleur et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Anderson et al, De Novo Designs"
7,-3.930466005,"La Fleur et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pr, Anderson et al, De Novo Designs"
7,-3.944770573,"La Fleur et al, Hossain et al, Yu et al, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
7,-4.112006457,"La Fleur et al, Hossain et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
7,-4.484656397,"La Fleur et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
7,-4.075409702,"Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al"
7,-3.89464911,"Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
7,-4.504403995,"Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Anderson et al, De Novo Designs"
7,-4.233389587,"Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pr, Anderson et al, De Novo Designs"
7,-4.204078891,"Urtecho et al, Hossain et al, Yu et al, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
7,-3.946788295,"Urtecho et al, Hossain et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
7,-5.115111668,"Urtecho et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
7,-3.597179771,"Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
8,-6.714015899,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al"
8,-6.588578685,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
8,-5.969941422,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Anderson et al, De Novo Designs"
8,-6.572673295,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pr, Anderson et al, De Novo Designs"
8,-6.266995359,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
8,-6.227098162,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
8,-5.154811719,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
8,-4.602940967,"La Fleur et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
8,-4.370732674,"Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
9,-6.789959041,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al, De Novo Designs"
